[ESP=00:06:32.768] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15478515625, acc_y_g: 0.98291015625, acc_z_g: -0.0869140625, gyro_x_dps: 0.6707317233085632, gyro_y_dps: 0.4878048896789551, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.788] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15576171875, acc_y_g: 0.98486328125, acc_z_g: -0.0849609375, gyro_x_dps: 0.792682945728302, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.808] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.717994689941406, acc_x_g: 0.1572265625, acc_y_g: 0.98681640625, acc_z_g: -0.08642578125, gyro_x_dps: 0.6097561120986938, gyro_y_dps: 0.3658536672592163, gyro_z_dps: 0.3048780560493469}
[ESP=00:06:32.828] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.717994689941406, acc_x_g: 0.15576171875, acc_y_g: 0.9853515625, acc_z_g: -0.08642578125, gyro_x_dps: 0.6097561120986938, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.18292683362960815}
[ESP=00:06:32.848] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.717994689941406, acc_x_g: 0.15380859375, acc_y_g: 0.98388671875, acc_z_g: -0.08544921875, gyro_x_dps: 0.5487805008888245, gyro_y_dps: 0.3658536672592163, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.868] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.717994689941406, acc_x_g: 0.154296875, acc_y_g: 0.98046875, acc_z_g: -0.08740234375, gyro_x_dps: 0.6097561120986938, gyro_y_dps: 0.3658536672592163, gyro_z_dps: 0.3048780560493469}
[ESP=00:06:32.888] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.717994689941406, acc_x_g: 0.15625, acc_y_g: 0.97900390625, acc_z_g: -0.08837890625, gyro_x_dps: 0.5487805008888245, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.18292683362960815}
[ESP=00:06:32.908] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.717994689941406, acc_x_g: 0.15576171875, acc_y_g: 0.982421875, acc_z_g: -0.0859375, gyro_x_dps: 0.6097561120986938, gyro_y_dps: 0.4878048896789551, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.928] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.733091354370117, acc_x_g: 0.15380859375, acc_y_g: 0.98583984375, acc_z_g: -0.0869140625, gyro_x_dps: 0.8536585569381714, gyro_y_dps: 0.4878048896789551, gyro_z_dps: 0.3048780560493469}
[ESP=00:06:32.948] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.733091354370117, acc_x_g: 0.15380859375, acc_y_g: 0.9814453125, acc_z_g: -0.08642578125, gyro_x_dps: 0.792682945728302, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.968] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.717994689941406, acc_x_g: 0.1640625, acc_y_g: 0.9833984375, acc_z_g: -0.06884765625, gyro_x_dps: 2.6219513416290283, gyro_y_dps: 2.0731706619262695, gyro_z_dps: -0.3658536672592163}
