[ESP=00:04:38.548] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.66847801208496, acc_x: 0.05712890625, acc_y: 0.0068359375, acc_z: 1.02099609375, gyro_x: 0.7317073345184326, gyro_y: 0.4878048896789551, gyro_z: 0.18292683362960815}
[ESP=00:04:38.568] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.66847801208496, acc_x: 0.0576171875, acc_y: 0.0087890625, acc_z: 1.0166015625, gyro_x: 0.6097561120986938, gyro_y: 0.4878048896789551, gyro_z: 0.3048780560493469}
[ESP=00:04:38.588] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.66847801208496, acc_x: 0.056640625, acc_y: 0.0078125, acc_z: 1.01806640625, gyro_x: 0.6097561120986938, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:04:38.608] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.66847801208496, acc_x: 0.056640625, acc_y: 0.00732421875, acc_z: 1.0185546875, gyro_x: 0.6707317233085632, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:04:38.628] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.66847801208496, acc_x: 0.056640625, acc_y: 0.0068359375, acc_z: 1.01953125, gyro_x: 0.6097561120986938, gyro_y: 0.4878048896789551, gyro_z: 0.18292683362960815}
[ESP=00:04:38.648] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.0576171875, acc_y: 0.0068359375, acc_z: 1.01806640625, gyro_x: 0.6707317233085632, gyro_y: 0.5487805008888245, gyro_z: 0.3048780560493469}
[ESP=00:04:38.668] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.05712890625, acc_y: 0.00830078125, acc_z: 1.01806640625, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:04:38.688] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.63828468322754, acc_x: 0.05712890625, acc_y: 0.0078125, acc_z: 1.009765625, gyro_x: 0.7317073345184326, gyro_y: 0.5487805008888245, gyro_z: 0.24390244483947754}
[ESP=00:04:38.708] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.05712890625, acc_y: 0.01025390625, acc_z: 1.0185546875, gyro_x: 0.6097561120986938, gyro_y: 0.4878048896789551, gyro_z: 0.3048780560493469}
[ESP=00:04:38.728] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.05712890625, acc_y: 0.00634765625, acc_z: 1.01953125, gyro_x: 0.7317073345184326, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:04:38.748] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.0576171875, acc_y: 0.00732421875, acc_z: 1.01806640625, gyro_x: 0.7317073345184326, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
