[ESP=00:05:53.408] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.0576171875, acc_y: 0.021484375, acc_z: 1.02001953125, gyro_x: 0.792682945728302, gyro_y: 0.4878048896789551, gyro_z: 0.18292683362960815}
[ESP=00:05:53.427] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.83454132080078, acc_x: 0.05859375, acc_y: 0.0224609375, acc_z: 1.02001953125, gyro_x: 0.7317073345184326, gyro_y: 0.4878048896789551, gyro_z: 0.18292683362960815}
[ESP=00:05:53.449] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.83454132080078, acc_x: 0.0576171875, acc_y: 0.02294921875, acc_z: 1.02001953125, gyro_x: 0.792682945728302, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:05:53.468] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.05712890625, acc_y: 0.0234375, acc_z: 1.01708984375, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:05:53.488] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.056640625, acc_y: 0.0224609375, acc_z: 1.02001953125, gyro_x: 0.6707317233085632, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:05:53.508] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.056640625, acc_y: 0.021484375, acc_z: 1.01904296875, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:05:53.528] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.0576171875, acc_y: 0.021484375, acc_z: 1.02001953125, gyro_x: 0.6097561120986938, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:05:53.548] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.0576171875, acc_y: 0.02099609375, acc_z: 1.017578125, gyro_x: 0.7317073345184326, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:05:53.568] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.864734649658203, acc_x: 0.056640625, acc_y: 0.02197265625, acc_z: 1.0185546875, gyro_x: 0.7317073345184326, gyro_y: 0.4878048896789551, gyro_z: 0.3048780560493469}
[ESP=00:05:53.588] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.864734649658203, acc_x: 0.056640625, acc_y: 0.02099609375, acc_z: 1.01513671875, gyro_x: 0.6097561120986938, gyro_y: 0.4878048896789551, gyro_z: 0.18292683362960815}
[ESP=00:05:53.608] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.864734649658203, acc_x: 0.056640625, acc_y: 0.025390625, acc_z: 1.01025390625, gyro_x: 0.5487805008888245, gyro_y: 0.5487805008888245, gyro_z: 0.24390244483947754}
[ESP=00:05:53.628] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.05712890625, acc_y: 0.02392578125, acc_z: 1.01025390625, gyro_x: 0.4268292784690857, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:05:53.648] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.056640625, acc_y: 0.02392578125, acc_z: 1.01318359375, gyro_x: 0.3658536672592163, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:05:53.668] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.05712890625, acc_y: 0.02197265625, acc_z: 1.01513671875, gyro_x: 0.4878048896789551, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:05:53.688] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.0576171875, acc_y: 0.02197265625, acc_z: 1.01904296875, gyro_x: 0.792682945728302, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:05:53.708] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.056640625, acc_y: 0.021484375, acc_z: 1.0185546875, gyro_x: 0.792682945728302, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:05:53.728] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.0576171875, acc_y: 0.02294921875, acc_z: 1.01953125, gyro_x: 0.7317073345184326, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:05:53.748] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.864734649658203, acc_x: 0.05615234375, acc_y: 0.021484375, acc_z: 1.01904296875, gyro_x: 0.6707317233085632, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:05:53.768] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.864734649658203, acc_x: 0.0576171875, acc_y: 0.0224609375, acc_z: 1.01953125, gyro_x: 0.792682945728302, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
